i, live, q0, q1, q2, q3, q4
00010, 00010, 00000, 00000, 00000, 00012, 00012
00011, 00011, 00000, 00000, 00000, 00012, 00012
00012, 00012, 00000, 00000, 00024, 00012, 00012
00013, 00013, 00000, 00000, 00024, 00012, 00012
00014, 00014, 00000, 00000, 00024, 00012, 00012
00015, 00015, 00000, 00000, 00024, 00012, 00018
00016, 00016, 00000, 00000, 00024, 00012, 00018
00017, 00017, 00000, 00000, 00024, 00012, 00018
00018, 00018, 00000, 00000, 00024, 00024, 00018
00019, 00019, 00000, 00000, 00024, 00024, 00018
00020, 00020, 00000, 00000, 00024, 00024, 00018
00021, 00021, 00000, 00000, 00024, 00024, 00024
00022, 00022, 00000, 00000, 00024, 00024, 00024
00023, 00023, 00000, 00000, 00024, 00024, 00024
00024, 00024, 00000, 00048, 00024, 00024, 00024
00025, 00025, 00000, 00048, 00024, 00024, 00024
00026, 00026, 00000, 00048, 00024, 00024, 00024
00027, 00027, 00000, 00048, 00024, 00024, 00030
00028, 00028, 00000, 00048, 00024, 00024, 00030
00029, 00029, 00000, 00048, 00024, 00024, 00030
00030, 00030, 00000, 00048, 00024, 00036, 00030
00031, 00031, 00000, 00048, 00024, 00036, 00030
00032, 00032, 00000, 00048, 00024, 00036, 00030
00033, 00033, 00000, 00048, 00024, 00036, 00036
00034, 00034, 00000, 00048, 00024, 00036, 00036
00035, 00035, 00000, 00048, 00024, 00036, 00036
00036, 00036, 00000, 00048, 00048, 00036, 00036
00037, 00037, 00000, 00048, 00048, 00036, 00036
00038, 00038, 00000, 00048, 00048, 00036, 00036
00039, 00039, 00000, 00048, 00048, 00036, 00042
00040, 00040, 00000, 00048, 00048, 00036, 00042
00041, 00041, 00000, 00048, 00048, 00036, 00042
00042, 00042, 00000, 00048, 00048, 00048, 00042
00043, 00043, 00000, 00048, 00048, 00048, 00042
00044, 00044, 00000, 00048, 00048, 00048, 00042
00045, 00045, 00000, 00048, 00048, 00048, 00048
00046, 00046, 00000, 00048, 00048, 00048, 00048
00047, 00047, 00000, 00048, 00048, 00048, 00048
00048, 00048, 00096, 00048, 00048, 00048, 00048
00049, 00049, 00096, 00048, 00048, 00048, 00048
00050, 00050, 00096, 00048, 00048, 00048, 00048
00051, 00051, 00096, 00048, 00048, 00048, 00054
00052, 00052, 00096, 00048, 00048, 00048, 00054
00053, 00053, 00096, 00048, 00048, 00048, 00054
00054, 00054, 00096, 00048, 00048, 00060, 00054
00055, 00055, 00096, 00048, 00048, 00060, 00054
00056, 00056, 00096, 00048, 00048, 00060, 00054
00057, 00057, 00096, 00048, 00048, 00060, 00060
00058, 00058, 00096, 00048, 00048, 00060, 00060
00059, 00059, 00096, 00048, 00048, 00060, 00060
00060, 00060, 00096, 00048, 00072, 00060, 00060
00061, 00061, 00096, 00048, 00072, 00060, 00060
00062, 00062, 00096, 00048, 00072, 00060, 00060
00063, 00063, 00096, 00048, 00072, 00060, 00066
00064, 00064, 00096, 00048, 00072, 00060, 00066
00065, 00065, 00096, 00048, 00072, 00060, 00066
00066, 00066, 00096, 00048, 00072, 00072, 00066
00067, 00067, 00096, 00048, 00072, 00072, 00066
00068, 00068, 00096, 00048, 00072, 00072, 00066
00069, 00069, 00096, 00048, 00072, 00072, 00072
00070, 00070, 00096, 00048, 00072, 00072, 00072
00071, 00071, 00096, 00048, 00072, 00072, 00072
00072, 00072, 00096, 00096, 00072, 00072, 00072
00073, 00073, 00096, 00096, 00072, 00072, 00072
00074, 00074, 00096, 00096, 00072, 00072, 00072
00075, 00075, 00096, 00096, 00072, 00072, 00078
00076, 00076, 00096, 00096, 00072, 00072, 00078
00077, 00077, 00096, 00096, 00072, 00072, 00078
00078, 00078, 00096, 00096, 00072, 00084, 00078
00079, 00079, 00096, 00096, 00072, 00084, 00078
00080, 00080, 00096, 00096, 00072, 00084, 00078
00081, 00081, 00096, 00096, 00072, 00084, 00084
00082, 00082, 00096, 00096, 00072, 00084, 00084
00083, 00083, 00096, 00096, 00072, 00084, 00084
00084, 00084, 00096, 00096, 00096, 00084, 00084
00085, 00085, 00096, 00096, 00096, 00084, 00084
00086, 00086, 00096, 00096, 00096, 00084, 00084
00087, 00087, 00096, 00096, 00096, 00084, 00090
00088, 00088, 00096, 00096, 00096, 00084, 00090
00089, 00089, 00096, 00096, 00096, 00084, 00090
00090, 00090, 00096, 00096, 00096, 00096, 00090
00091, 00091, 00096, 00096, 00096, 00096, 00090
00092, 00092, 00096, 00096, 00096, 00096, 00090
00093, 00093, 00096, 00096, 00096, 00096, 00096
00094, 00094, 00096, 00096, 00096, 00096, 00096
00095, 00095, 00096, 00096, 00096, 00096, 00096
00096, 00096, 00096, 00096, 00096, 00096, 00096
00097, 00097, 00096, 00096, 00096, 00096, 00096
00098, 00098, 00096, 00096, 00096, 00096, 00096
00099, 00099, 00096, 00096, 00096, 00096, 00102
00100, 00100, 00096, 00096, 00096, 00096, 00102
00101, 00101, 00096, 00096, 00096, 00096, 00102
00102, 00102, 00096, 00096, 00096, 00108, 00102
00103, 00103, 00096, 00096, 00096, 00108, 00102
00104, 00104, 00096, 00096, 00096, 00108, 00102
00105, 00105, 00096, 00096, 00096, 00108, 00108
00106, 00106, 00096, 00096, 00096, 00108, 00108
00107, 00107, 00096, 00096, 00096, 00108, 00108
00108, 00108, 00096, 00096, 00120, 00108, 00108
00109, 00109, 00096, 00096, 00120, 00108, 00108
00110, 00110, 00096, 00096, 00120, 00108, 00108
00111, 00111, 00096, 00096, 00120, 00108, 00114
00112, 00112, 00096, 00096, 00120, 00108, 00114
00113, 00113, 00096, 00096, 00120, 00108, 00114
00114, 00114, 00096, 00096, 00120, 00120, 00114
00115, 00115, 00096, 00096, 00120, 00120, 00114
00116, 00116, 00096, 00096, 00120, 00120, 00114
00117, 00117, 00096, 00096, 00120, 00120, 00120
00118, 00118, 00096, 00096, 00120, 00120, 00120
00119, 00119, 00096, 00096, 00120, 00120, 00120
00120, 00120, 00096, 00144, 00120, 00120, 00120
00121, 00121, 00096, 00144, 00120, 00120, 00120
00122, 00122, 00096, 00144, 00120, 00120, 00120
00123, 00123, 00096, 00144, 00120, 00120, 00126
00124, 00124, 00096, 00144, 00120, 00120, 00126
00125, 00125, 00096, 00144, 00120, 00120, 00126
00126, 00126, 00096, 00144, 00120, 00132, 00126
00127, 00127, 00096, 00144, 00120, 00132, 00126
00128, 00128, 00096, 00144, 00120, 00132, 00126
00129, 00129, 00096, 00144, 00120, 00132, 00132
00130, 00130, 00096, 00144, 00120, 00132, 00132
00131, 00131, 00096, 00144, 00120, 00132, 00132
00132, 00132, 00096, 00144, 00144, 00132, 00132
00133, 00133, 00096, 00144, 00144, 00132, 00132
00134, 00134, 00096, 00144, 00144, 00132, 00132
00135, 00135, 00096, 00144, 00144, 00132, 00138
00136, 00136, 00096, 00144, 00144, 00132, 00138
00137, 00137, 00096, 00144, 00144, 00132, 00138
00138, 00138, 00096, 00144, 00144, 00144, 00138
00139, 00139, 00096, 00144, 00144, 00144, 00138
00140, 00140, 00096, 00144, 00144, 00144, 00138
00141, 00141, 00096, 00144, 00144, 00144, 00144
00142, 00142, 00096, 00144, 00144, 00144, 00144
00143, 00143, 00096, 00144, 00144, 00144, 00144
00144, 00144, 00192, 00144, 00144, 00144, 00144
00145, 00145, 00192, 00144, 00144, 00144, 00144
00146, 00146, 00192, 00144, 00144, 00144, 00144
00147, 00147, 00192, 00144, 00144, 00144, 00150
00148, 00148, 00192, 00144, 00144, 00144, 00150
00149, 00149, 00192, 00144, 00144, 00144, 00150
00150, 00150, 00192, 00144, 00144, 00156, 00150
00151, 00151, 00192, 00144, 00144, 00156, 00150
00152, 00152, 00192, 00144, 00144, 00156, 00150
00153, 00153, 00192, 00144, 00144, 00156, 00156
00154, 00154, 00192, 00144, 00144, 00156, 00156
00155, 00155, 00192, 00144, 00144, 00156, 00156
00156, 00156, 00192, 00144, 00168, 00156, 00156
00157, 00157, 00192, 00144, 00168, 00156, 00156
00158, 00158, 00192, 00144, 00168, 00156, 00156
00159, 00159, 00192, 00144, 00168, 00156, 00162
00160, 00160, 00192, 00144, 00168, 00156, 00162
00161, 00161, 00192, 00144, 00168, 00156, 00162
00162, 00162, 00192, 00144, 00168, 00168, 00162
00163, 00163, 00192, 00144, 00168, 00168, 00162
00164, 00164, 00192, 00144, 00168, 00168, 00162
00165, 00165, 00192, 00144, 00168, 00168, 00168
00166, 00166, 00192, 00144, 00168, 00168, 00168
00167, 00167, 00192, 00144, 00168, 00168, 00168
00168, 00168, 00192, 00192, 00168, 00168, 00168
00169, 00169, 00192, 00192, 00168, 00168, 00168
00170, 00170, 00192, 00192, 00168, 00168, 00168
00171, 00171, 00192, 00192, 00168, 00168, 00174
00172, 00172, 00192, 00192, 00168, 00168, 00174
00173, 00173, 00192, 00192, 00168, 00168, 00174
00174, 00174, 00192, 00192, 00168, 00180, 00174
00175, 00175, 00192, 00192, 00168, 00180, 00174
00176, 00176, 00192, 00192, 00168, 00180, 00174
00177, 00177, 00192, 00192, 00168, 00180, 00180
00178, 00178, 00192, 00192, 00168, 00180, 00180
00179, 00179, 00192, 00192, 00168, 00180, 00180
00180, 00180, 00192, 00192, 00192, 00180, 00180
